# gD    Tn    alpha    beta
5.000000e-01 1.448548e-04 2.176531e+13 1.875705e+01
5.263158e-01 7.161292e-04 1.776615e+10 2.399951e+01
5.526316e-01 2.287627e-03 1.064392e+08 2.970759e+01
5.789474e-01 5.534941e-03 2.237019e+06 3.625005e+01
6.052632e-01 1.103259e-02 1.119536e+05 4.343266e+01
6.315789e-01 1.910254e-02 1.047254e+04 5.139350e+01
6.578947e-01 2.974613e-02 1.564307e+03 6.057814e+01
6.842105e-01 4.270346e-02 3.337174e+02 7.050087e+01
7.105263e-01 5.753815e-02 9.386299e+01 8.179041e+01
7.368421e-01 7.370097e-02 3.287884e+01 9.437083e+01
7.631579e-01 9.066045e-02 1.371476e+01 1.082733e+02
7.894737e-01 1.078956e-01 6.594194e+00 1.236025e+02
8.157895e-01 1.250114e-01 3.555912e+00 1.402948e+02
8.421053e-01 1.416919e-01 2.105992e+00 1.586302e+02
8.684211e-01 1.577283e-01 1.346588e+00 1.787323e+02
8.947368e-01 1.730024e-01 9.166763e-01 2.012469e+02
9.210526e-01 1.874424e-01 6.571998e-01 2.238950e+02
9.473684e-01 2.010310e-01 4.918196e-01 2.500124e+02
9.736842e-01 2.137608e-01 3.815902e-01 2.786518e+02
1.000000e+00 2.256577e-01 3.051948e-01 3.075141e+02
