# gD    Tn    alpha    beta
5.000000e-01 2.021678e-05 1.084516e+17 1.498828e+01
5.263158e-01 2.024589e-04 3.757695e+12 1.974332e+01
5.526316e-01 9.404943e-04 4.332426e+09 2.550656e+01
5.789474e-01 2.868482e-03 3.335463e+07 3.181925e+01
6.052632e-01 6.667196e-03 8.649598e+05 3.857166e+01
6.315789e-01 1.285726e-02 5.130469e+04 4.649436e+01
6.578947e-01 2.164535e-02 5.530604e+03 5.528077e+01
6.842105e-01 3.292780e-02 9.283166e+02 6.499719e+01
7.105263e-01 4.635177e-02 2.182419e+02 7.589022e+01
7.368421e-01 6.144792e-02 6.648699e+01 8.773561e+01
7.631579e-01 7.765151e-02 2.488352e+01 1.013848e+02
7.894737e-01 9.443826e-02 1.097192e+01 1.163822e+02
8.157895e-01 1.113571e-01 5.518807e+00 1.329889e+02
8.421053e-01 1.280182e-01 3.091276e+00 1.509600e+02
8.684211e-01 1.441874e-01 1.888151e+00 1.704600e+02
8.947368e-01 1.596722e-01 1.238529e+00 1.919198e+02
9.210526e-01 1.743873e-01 8.610673e-01 2.155993e+02
9.473684e-01 1.882859e-01 6.281007e-01 2.412023e+02
9.736842e-01 2.013291e-01 4.771129e-01 2.684385e+02
1.000000e+00 2.135596e-01 3.747110e-01 2.979636e+02
