Tn gD beta
2.988781068256246e-05  0.5000000000000000 13.098916810851215
1.7299980167911593e-04 0.5208333333333334 17.05628444598694
5.7268039337218877e-04 0.5416666666666666 20.575394366524495
1.6617832077080422e-03 0.5625000000000000 25.38372717083842
3.3815131747657384e-03 0.5833333333333334 29.305452254390566
6.4078154208656911e-03 0.6041666666666666 34.31628395548025
1.2050408790892055e-02 0.6250000000000000 41.8731880515656
1.8929555679626828e-02 0.6458333333333333 49.05768022912574
2.5541058190393217e-02 0.6666666666666666 54.08737448748231
4.3743027191892804e-02 0.7083333333333333 67.79234085981065
5.5039754133098424e-02 0.7291666666666666 76.55167722415057
6.7107693665427778e-02 0.7500000000000000 8.2701035294999016e+01
9.2484989320259864e-02 0.7916666666666666 1.0856031818324308e+02
1.0535069480341358e-01 0.8125000000000000 1.1644373607833620e+02
1.1809704413132026e-01 0.8333333333333333 1.3571441324010806e+02
1.3058164183382157e-01 0.8541666666666666 1.4532583605865074e+02
1.4257910150976341e-01 0.8750000000000000 1.6340501904565161e+02
1.5417679950544366e-01 0.8958333333333333 1.7613254714255459e+02
1.6527397689548395e-01 0.9166666666666666 1.9252075248133013e+02
1.7584712338076705e-01 0.9375000000000000 2.1049827439834473e+02
1.8589102073436914e-01 0.9583333333333333 2.2867801003757563e+02
1.9541270604231120e-01 0.9791666666666666 248.03992654956662
1.9999652798560544e-01 1.0000000000000000 249.66873796251008
