1.801648230654412018e-06 1.211684610355574563e+02
3.245936347020173305e-06 1.257816652016478969e+02
5.848035476425728184e-06 1.307872208310481028e+02
1.053610276890664426e-05 1.370462298923865205e+02
1.898235091159370663e-05 1.439729722329425101e+02
3.419951893353389595e-05 1.518030916214403874e+02
6.161550277583340278e-05 1.606177627070346716e+02
1.110094615569622674e-04 1.706337814360074958e+02
2.000000000000000367e-04 1.820936492054154030e+02
2.285714285714285669e-04 1.797834043004941691e+02
2.928571428571428818e-04 1.842409201579894216e+02
3.571428571428571425e-04 1.886459949419038651e+02
4.214285714285714575e-04 1.947909202150875103e+02
4.857142857142857182e-04 1.953318436060692704e+02
5.500000000000000331e-04 2.006326432407384175e+02
6.785714285714286630e-04 2.054668416348241919e+02
7.428571428571429779e-04 2.061519079876279648e+02
1.000000000000000021e-03 2.170452731575872178e+02
1.268274865104303088e-03 2.240916489393358972e+02
2.040046923550489777e-03 2.401588953703056575e+02
2.587340236772445873e-03 2.497716073365863281e+02
3.281458589771509525e-03 2.603665727323987653e+02
4.161791450287817204e-03 2.715498130509971588e+02
5.278295490206023899e-03 2.844722161571091874e+02
6.694329500821696345e-03 2.983690382665895982e+02
8.490249844618392647e-03 3.139051461060008137e+02
1.076797047638522291e-02 3.310077551957408559e+02
1.365674630338458567e-02 3.505039132963842690e+02
1.732050807568877651e-02 3.725217430645259924e+02
2.196716504323217509e-02 3.979728700271807043e+02
2.786040328192924964e-02 4.276423226084504563e+02
3.533464921414029847e-02 4.625563202677366235e+02
4.481404746557166030e-02 5.045428102955013401e+02
5.683653000417573237e-02 5.559225375412938774e+02
7.208434242404264392e-02 6.207361337532208836e+02
9.142275966398508147e-02 7.053387492068876554e+02
1.159491881803037944e-01 8.214399623003357647e+02
1.470554409983282629e-01 9.925888621298227008e+02
1.865067195950085577e-01 1.275491379896098351e+03
2.365417846354055664e-01 1.852339543123543763e+03
2.999999999999999334e-01 3.869482417036105744e+03
