# gD    Tn    alpha    beta
5.000000e-01 nan nan nan
5.263158e-01 nan nan nan
5.526316e-01 nan nan nan
5.789474e-01 1.822407e-06 1.273619e+21 1.154323e+01
6.052632e-01 1.116647e-04 1.546291e+13 1.917597e+01
6.315789e-01 8.357653e-04 2.529131e+09 2.639497e+01
6.578947e-01 3.087828e-03 9.621799e+06 3.453063e+01
6.842105e-01 7.739867e-03 2.019202e+05 4.343453e+01
7.105263e-01 1.524838e-02 1.207124e+04 5.341254e+01
7.368421e-01 2.557273e-02 1.441416e+03 6.449795e+01
7.631579e-01 3.832525e-02 2.775755e+02 7.685847e+01
7.894737e-01 5.290739e-02 7.552584e+01 9.063728e+01
8.157895e-01 6.870585e-02 2.651614e+01 1.058776e+02
8.421053e-01 8.510857e-02 1.131628e+01 1.228066e+02
8.684211e-01 1.016284e-01 5.614387e+00 1.411967e+02
8.947368e-01 1.178991e-01 3.133356e+00 1.616542e+02
9.210526e-01 1.336537e-01 1.919897e+00 1.837009e+02
9.473684e-01 1.487311e-01 1.267359e+00 2.083852e+02
9.736842e-01 1.630477e-01 8.882004e-01 2.343902e+02
1.000000e+00 1.765552e-01 6.536657e-01 2.628444e+02
