Tn gD alpha
2.9887810682562459e-05 0.5000000000000000 1.1945223192320318e+15
1.7299980167911593e-04 0.5208333333333334 1.0641142577551566e+12
5.7268039337218877e-04 0.5416666666666666 8.8617894025038109e+09
1.6617832077080422e-03 0.5625000000000000 1.2498941077564393e+08
3.3815131747657384e-03 0.5833333333333334 7.2899804440470915e+06
6.4078154208656911e-03 0.6041666666666666 5.6536744750188140e+05
1.2050408790892055e-02 0.6250000000000000 4.5202652020463640e+04
1.8929555679626828e-02 0.6458333333333333 7.4235080181711592e+03
2.5541058190393217e-02 0.6666666666666666 2.2398184906294287e+03
4.3743027191892804e-02 0.7083333333333333 2.6030553648477371e+02
5.5039754133098424e-02 0.7291666666666666 1.0382691720778635e+02
6.7107693665427778e-02 0.7500000000000000 4.6957050381718744e+01
7.9674130478971011e-02 0.7708333333333333 2.3609631284865742e+01
9.2484989320259864e-02 0.7916666666666666 1.2981812954713543e+01
1.0535069480341358e-01 0.8125000000000000 7.6897677667144766e+00
1.1809704413132026e-01 0.8333333333333333 4.8508680304015188e+00
1.3058164183382157e-01 0.8541666666666666 3.2280057653496428e+00
1.4257910150976341e-01 0.8750000000000000 2.2556120270015332e+00
1.5417679950544366e-01 0.8958333333333333 1.6356859109388386e+00
1.6527397689548395e-01 0.9166666666666666 1.2260615488914148e+00
1.7584712338076705e-01 0.9375000000000000 9.4542188201379596e-01
1.8589102073436914e-01 0.9583333333333333 7.4694332786998341e-01
1.9541270604231120e-01 0.9791666666666666 6.0260446769188092e-01
1.9999652798560544e-01 1.0000000000000000 5.4516230618890782e-01
