# phi  Veff_T1e-04  Veff_T1e-03
# # g0=0.6  y0=0.0  lam0=0.0  m0=0.0  scale=pi
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
1.0000000000e-08 3.3134327387e-26 3.5106708419e-24
2.0000000000e-08 1.3253289686e-25 1.4041875574e-23
3.0000000000e-08 2.9818910170e-25 3.1594421990e-23
4.0000000000e-08 5.3009626125e-25 5.6167502297e-23
5.0000000000e-08 8.2824776879e-25 8.7761520391e-23
6.0000000000e-08 1.1926369560e-24 1.2637627432e-22
7.0000000000e-08 1.6232571915e-24 1.7201156215e-22
8.0000000000e-08 2.1201017946e-24 2.2466738386e-22
9.0000000000e-08 2.6831641587e-24 2.8434373946e-22
1.0000000000e-07 3.3124375783e-24 3.5104062896e-22
1.1000000000e-07 4.0079154222e-24 4.2475764844e-22
1.2000000000e-07 4.7695910220e-24 5.0549520182e-22
1.3000000000e-07 5.5974576847e-24 5.9325288519e-22
1.4000000000e-07 6.4915087789e-24 6.8803049661e-22
1.5000000000e-07 7.4517376117e-24 7.8982864191e-22
1.6000000000e-07 8.4781374901e-24 8.9864651332e-22
1.7000000000e-07 9.5707017580e-24 1.0144845147e-21
1.8000000000e-07 1.0729423710e-23 1.1373424442e-21
1.9000000000e-07 1.1954296690e-23 1.2672198977e-21
2.0000000000e-07 1.3245313994e-23 1.4041174813e-21
2.1000000000e-07 1.4602468915e-23 1.5480345891e-21
2.2000000000e-07 1.6025754735e-23 1.6989712209e-21
2.3000000000e-07 1.7515164825e-23 1.8569277809e-21
2.4000000000e-07 1.9070692428e-23 2.0219034610e-21
2.5000000000e-07 2.0692330877e-23 2.1938984634e-21
2.6000000000e-07 2.2380073405e-23 2.3729131919e-21
2.7000000000e-07 2.4133913355e-23 2.5589470406e-21
2.8000000000e-07 2.5953843961e-23 2.7519998077e-21
2.9000000000e-07 2.7839858517e-23 2.9520720988e-21
3.0000000000e-07 2.9791950331e-23 3.1591637122e-21
3.1000000000e-07 3.1810112672e-23 3.3732738400e-21
3.2000000000e-07 3.3894338774e-23 3.5944032900e-21
3.3000000000e-07 3.6044621930e-23 3.8225514563e-21
3.4000000000e-07 3.8260955388e-23 4.0577187429e-21
3.5000000000e-07 4.0543332453e-23 4.2999043420e-21
3.6000000000e-07 4.2891746333e-23 4.5491084554e-21
3.7000000000e-07 4.5306190300e-23 4.8053318911e-21
3.8000000000e-07 4.7786657611e-23 5.0685734372e-21
3.9000000000e-07 5.0333141535e-23 5.3388336997e-21
4.0000000000e-07 5.2945635244e-23 5.6161120728e-21
4.1000000000e-07 5.5624132033e-23 5.9004087583e-21
4.2000000000e-07 5.8368625160e-23 6.1917241601e-21
