T  S
1.000000000000000082e-05 1.102486546511225498e+02
1.234155325345469435e-05 1.128216367967383320e+02
1.523139367078581501e-05 1.133710734638368507e+02
1.879790561123358985e-05 1.162343548378742781e+02
2.319953531544541976e-05 1.185516627809145547e+02
2.863183005509724818e-05 1.218746457330366155e+02
3.533612553688473591e-05 1.244176779324537137e+02
4.361026750842233248e-05 1.272903857428218402e+02
5.382184388525991471e-05 1.303754056815671163e+02
6.642451525090601434e-05 1.337753401838441221e+02
8.197816923039700956e-05 2.627450837334329776e+02
1.011737941177666774e-04 1.410041215990774219e+02
1.248641767958478751e-04 1.447236166145678169e+02
1.541017887374738463e-04 1.487247036209466557e+02
1.901855432156160397e-04 1.528496293078134727e+02
2.347185009632734394e-04 1.571705423776204213e+02
2.896790879209295861e-04 1.618219410947548624e+02
3.575089889988337087e-04 1.665801592476657049e+02
4.412216226317854811e-04 1.717249501527799396e+02
5.445360152285871414e-04 1.771447511241795212e+02
6.720420230367624669e-04 1.828209805229156757e+02
8.294042415867630214e-04 1.889005942627983927e+02
1.023613661618423933e-03 1.953173116846656967e+02
1.263298251582753266e-03 2.021799745996275703e+02
1.559106264690475474e-03 2.095252974717279244e+02
1.924179299347233236e-03 2.173596878586561445e+02
2.374736129208901945e-03 6.209115011084485332e+02
2.930793240153456262e-03 2.349030994034103514e+02
3.617054084821891453e-03 2.447514953160317646e+02
4.464006560845520596e-03 2.554098594032184337e+02
5.509277469444613315e-03 2.669997914736038638e+02
6.799304127720881552e-03 2.796951115473578398e+02
8.391397397870157052e-03 2.936643352868557031e+02
1.035628778567156995e-02 3.091283487911808265e+02
1.278126772149680741e-02 3.262315545380366757e+02
1.577406962315143837e-02 5.648144395099316171e+02
1.946765202778255252e-02 3.671376041178202172e+02
2.402610642206036429e-02 3.917973476645340156e+02
2.965194718810280905e-02 4.201687937074474348e+02
3.659510852905970002e-02 4.532438054544602437e+02
4.516404807273444177e-02 4.924082080749614647e+02
5.573945044312399177e-02 5.394880013828008032e+02
6.879113959621135921e-02 5.975315959023174628e+02
8.489895126924783264e-02 6.710597631349870653e+02
1.047784928251877246e-01 7.680617590084957556e+02
1.293129349018774799e-01 9.027792430176098151e+02
1.595922472452041274e-01 1.105213502868903788e+03
1.969616218215194947e-01 1.450563720111175144e+03
2.430812344597086949e-01 2.194750438526647031e+03
2.999999999999999334e-01 4.993195512569331186e+03
