T  S
1.000000000000000082e-05 5.554196460302592659e-04
1.536550077817304180e-05 9.192035657588098650e-04
2.360986141640368288e-05 1.465389004022535444e-03
3.627773439663084114e-05 2.378765041017507232e-03
5.574255561017860903e-05 3.850408587424530502e-03
8.565122816055552280e-05 6.277256426595885508e-03
1.316074012952492571e-04 1.021444898041070845e-02
2.022213627015486325e-04 2.728128658060013922e-02
3.107232505953861300e-04 4.165679486338422222e-02
4.774418348819862426e-04 4.485787807386529963e-02
7.336132885411532486e-04 7.387412215809348315e-02
1.127233555595718575e-03 1.220921294751069891e-01
1.732050807568877608e-03 2.025883186912087741e-01
2.661382803153485889e-03 3.379054433742542107e-01
4.089347953287128176e-03 5.669507987688898742e-01
6.283487915845369955e-03 1.997036485241053150e+00
9.654893846056302603e-03 1.633245145170114432e+00
1.483522789047563885e-02 2.815214158396879718e+00
2.279507056954778454e-02 4.923997012206680957e+00
3.502576745748962189e-02 8.785620889902091335e+00
5.381884571241653259e-02 1.612066883977867704e+01
8.269535156745110027e-02 3.090702942260636732e+01
1.270655488860965854e-01 6.404324059256330770e+01
1.952425790288301599e-01 1.582900439627106266e+02
2.999999999999999334e-01 8.328680368669350855e+02
