# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
1.549999999999999989e-01 -7.647197957213697439e-06 -3.656521842573709696e-06 3.784501474270179780e-06
1.575000000000000011e-01 -8.152618938850949171e-06 -3.897116770997613364e-06 3.805545760556655870e-06
1.600000000000000033e-01 -8.682688734496689853e-06 -4.149393236860761717e-06 3.821887307029286592e-06
1.625000000000000056e-01 -9.238196005553154581e-06 -4.413723347940884910e-06 3.833362290654740174e-06
1.650000000000000078e-01 -9.819941833010495814e-06 -4.690485045968722029e-06 3.839806765743960832e-06
1.675000000000000100e-01 -1.042873971744680031e-05 -4.980062106628036334e-06 3.841056660706582463e-06
1.700000000000000122e-01 -1.106541557902806543e-05 -5.282844139555596625e-06 3.836947774026817416e-06
1.725000000000000144e-01 -1.173080775750822619e-05 -5.599226588341195032e-06 3.827315769339620084e-06
1.750000000000000167e-01 -1.242576701222912822e-05 -5.929610730527635997e-06 3.811996169451474558e-06
1.774999999999999911e-01 -1.315115652212055313e-05 -6.274403677610733743e-06 3.790824349106801014e-06
1.799999999999999933e-01 -1.390785188570020161e-05 -6.634018375039328359e-06 3.763635526241100484e-06
1.824999999999999956e-01 -1.469674112107370523e-05 -7.008873602215271402e-06 3.730264751383786633e-06
1.849999999999999978e-01 -1.551872466593460617e-05 -7.399393972493425056e-06 3.690546894764487607e-06
1.875000000000000000e-01 -1.637471537756439276e-05 -7.806009933181668899e-06 3.644316630526357671e-06
1.900000000000000022e-01 -1.726563853283245205e-05 -8.229157765540903298e-06 3.591408417234819104e-06
1.925000000000000044e-01 -1.819243182819610372e-05 -8.669279584785037550e-06 3.531656473559246275e-06
1.950000000000000067e-01 -1.915604537970060512e-05 -9.126823340080997501e-06 3.464894747542678088e-06
1.975000000000000089e-01 -2.015744172297911742e-05 -9.602242814548726398e-06 3.390956877166877745e-06
2.000000000000000111e-01 -2.119759581325274624e-05 -1.009599762526117302e-05 3.309676138808263714e-06
2.025000000000000133e-01 -2.227749502533051459e-05 -1.060855322324432559e-05 3.220885378360659906e-06
2.050000000000000155e-01 -2.339813915360935943e-05 -1.114038089347715751e-05 3.124416916705158374e-06
2.075000000000000178e-01 -2.456054041207416557e-05 -1.169195775489167825e-05 3.020102415659999678e-06
2.099999999999999922e-01 -2.576572343429768777e-05 -1.226376676037290109e-05 2.907772679980238223e-06
2.124999999999999944e-01 -2.701472527344069301e-05 -1.285629669675886860e-05 2.787257349262585882e-06
2.149999999999999967e-01 -2.830859540225179446e-05 -1.347004218484062548e-05 2.658384384347092853e-06
2.174999999999999989e-01 -2.964839571306755996e-05 -1.410550367936223046e-05 2.520979125089257435e-06
2.200000000000000011e-01 -3.103520051781250857e-05 -1.476318746902077997e-05 2.374862294363138835e-06
2.225000000000000033e-01 -3.247009654799900554e-05 -1.544360567646634890e-05 2.219844574328903343e-06
2.250000000000000056e-01 -3.395418295472743179e-05 -1.614727625830204817e-05 2.055697291195940834e-06
2.275000000000000078e-01 -3.548857130868603133e-05 -1.687472300508402302e-05 1.881979165231918954e-06
2.300000000000000100e-01 -3.707438560015101641e-05 -1.762647554132139546e-05 1.698775351136020567e-06
2.325000000000000122e-01 -3.871276223898646577e-05 -1.840306932547632860e-05 1.505991491606447860e-06
2.350000000000000144e-01 -4.040485005464443315e-05 -1.920504564996398261e-05 1.303485007089812413e-06
2.375000000000000167e-01 -4.215181029616486591e-05 -2.003295164115256557e-05 1.091103348691631510e-06
2.399999999999999911e-01 -4.395481663217567283e-05 -2.088734025936325891e-05 8.686896102483738233e-07
2.424999999999999933e-01 -4.581505515089264276e-05 -2.176877029887028855e-05 6.360845059410347039e-07
2.449999999999999956e-01 -4.773372436011951244e-05 -2.267780638790088766e-05 3.931272759500004316e-07
2.474999999999999978e-01 -4.971203518724797322e-05 -2.361501898863530680e-05 1.396561679008504961e-07
2.500000000000000000e-01 -5.175121097925758297e-05 -2.458098439720680039e-05 -1.244912806660380565e-07
2.525000000000000022e-01 -5.385248750271584068e-05 -2.557628474370164700e-05 -3.994780644172435521e-07
2.550000000000000044e-01 -5.601711294377819994e-05 -2.660150799215914939e-05 -6.854675920615443648e-07
2.575000000000000067e-01 -5.824634790818796734e-05 -2.765724794057162095e-05 -9.826236044933054151e-07
2.600000000000000089e-01 -6.054146542127649219e-05 -2.874410422088437213e-05 -1.291110116142615860e-06
2.625000000000000111e-01 -6.290375092796292257e-05 -2.986268229899572400e-05 -1.611091371770008700e-06
2.650000000000000133e-01 -6.533450229275442219e-05 -3.101359347475707941e-05 -1.942731813893083738e-06
2.675000000000000155e-01 -6.783502979974602128e-05 -3.219745488197276373e-05 -2.286196057741925278e-06
2.700000000000000178e-01 -7.040665615262072506e-05 -3.341488948840019428e-05 -2.641648871679061418e-06
2.725000000000000200e-01 -7.305071647464939848e-05 -3.466652609574974480e-05 -3.009255161669690940e-06
2.750000000000000222e-01 -7.576855830869087469e-05 -3.595299933968485384e-05 -3.389179958811718474e-06
2.775000000000000244e-01 -7.856154161719195502e-05 -3.727494968982193670e-05 -3.781588409215906285e-06
2.800000000000000266e-01 -8.143103878218724636e-05 -3.863302344973044641e-05 -4.186645765718531023e-06
2.825000000000000289e-01 -8.437843460529935089e-05 -4.002787275693284663e-05 -4.604517381042873389e-06
2.850000000000000311e-01 -8.740512630773886605e-05 -4.146015558290461162e-05 -5.035368702121400435e-06
2.875000000000000333e-01 -9.051252353030419487e-05 -4.293053573307423307e-05 -5.479365265358506799e-06
2.899999999999999800e-01 -9.370204833338158657e-05 -4.443968284682318616e-05 -5.936672692665221447e-06
2.924999999999999822e-01 -9.697513519694558382e-05 -4.598827239748606513e-05 -6.407456688134027366e-06
2.949999999999999845e-01 -1.003332310205582096e-04 -4.757698569235035963e-05 -6.891883035251282919e-06
2.974999999999999867e-01 -1.037777951233697396e-04 -4.920650987265665126e-05 -7.390117594566132956e-06
2.999999999999999889e-01 -1.073102992441181739e-04 -5.087753791359847803e-05 -7.902326301752239939e-06
3.024999999999999911e-01 -1.109322275411294399e-04 -5.259076862432243601e-05 -8.428675166011553735e-06
3.049999999999999933e-01 -1.146450765923175824e-04 -5.434690664792811156e-05 -8.969330268781129482e-06
3.074999999999999956e-01 -1.184503553951844111e-04 -5.614666246146815586e-05 -9.524457762711524534e-06
3.099999999999999978e-01 -1.223495853668196633e-04 -5.799075237594813586e-05 -1.009422387089406047e-05
3.125000000000000000e-01 -1.263443003439010035e-04 -5.987989853632678499e-05 -1.067879488631965712e-05
3.150000000000000022e-01 -1.304360465826941596e-04 -6.181482892151572532e-05 -1.127833717155799008e-05
3.175000000000000044e-01 -1.346263827590525022e-04 -6.379627734437958277e-05 -1.189301715865098133e-05
3.200000000000000067e-01 -1.389168799684176278e-04 -6.582498345173611585e-05 -1.252300134921922729e-05
3.225000000000000089e-01 -1.433091217258188705e-04 -6.790169272435598528e-05 -1.316845631478534855e-05
3.250000000000000111e-01 -1.478047039658736276e-04 -7.002715647696292338e-05 -1.382954869732335508e-05
3.275000000000000133e-01 -1.524052350427869797e-04 -7.220213185823369344e-05 -1.450644521004898903e-05
3.300000000000000155e-01 -1.571123357303522063e-04 -7.442738185079800835e-05 -1.519931263847215967e-05
