# S_vals   V0
3.9639639640e-01 -5.6505402256e-05
3.9939939940e-01 -5.8001273729e-05
4.0240240240e-01 -5.9524119797e-05
4.0540540541e-01 -6.1074186341e-05
4.0840840841e-01 -6.2651718675e-05
4.1141141141e-01 -6.4256961528e-05
4.1441441441e-01 -6.5890159032e-05
4.1741741742e-01 -6.7551554698e-05
4.2042042042e-01 -6.9241391401e-05
4.2342342342e-01 -7.0959911364e-05
4.2642642643e-01 -7.2707356140e-05
4.2942942943e-01 -7.4483966593e-05
4.3243243243e-01 -7.6289982884e-05
4.3543543544e-01 -7.8125644453e-05
4.3843843844e-01 -7.9991190002e-05
4.4144144144e-01 -8.1886857476e-05
4.4444444444e-01 -8.3812884053e-05
4.4744744745e-01 -8.5769506121e-05
4.5045045045e-01 -8.7756959265e-05
4.5345345345e-01 -8.9775478252e-05
4.5645645646e-01 -9.1825297009e-05
4.5945945946e-01 -9.3906648617e-05
4.6246246246e-01 -9.6019765284e-05
4.6546546547e-01 -9.8164878338e-05
4.6846846847e-01 -1.0034221821e-04
4.7147147147e-01 -1.0255201441e-04
4.7447447447e-01 -1.0479449552e-04
4.7747747748e-01 -1.0706988918e-04
4.8048048048e-01 -1.0937842208e-04
4.8348348348e-01 -1.1172031991e-04
4.8648648649e-01 -1.1409580738e-04
4.8948948949e-01 -1.1650510821e-04
4.9249249249e-01 -1.1894844508e-04
4.9549549550e-01 -1.2142603964e-04
4.9849849850e-01 -1.2393811249e-04
5.0150150150e-01 -1.2648488317e-04
5.0450450450e-01 -1.2906657014e-04
5.0750750751e-01 -1.3168339076e-04
5.1051051051e-01 -1.3433556129e-04
5.1351351351e-01 -1.3702329687e-04
5.1651651652e-01 -1.3974681150e-04
5.1951951952e-01 -1.4250631803e-04
5.2252252252e-01 -1.4530202814e-04
5.2552552553e-01 -1.4813415234e-04
5.2852852853e-01 -1.5100289994e-04
5.3153153153e-01 -1.5390847907e-04
5.3453453453e-01 -1.5685109660e-04
5.3753753754e-01 -1.5983095821e-04
5.4054054054e-01 -1.6284826830e-04
5.4354354354e-01 -1.6590323002e-04
5.4654654655e-01 -1.6899604526e-04
5.4954954955e-01 -1.7212691460e-04
5.5255255255e-01 -1.7529603735e-04
5.5555555556e-01 -1.7850361149e-04
5.5855855856e-01 -1.8174983367e-04
5.6156156156e-01 -1.8503489920e-04
5.6456456456e-01 -1.8835900206e-04
5.6756756757e-01 -1.9172233484e-04
5.7057057057e-01 -1.9512508878e-04
5.7357357357e-01 -1.9856745369e-04
5.7657657658e-01 -2.0204961802e-04
5.7957957958e-01 -2.0557176878e-04
5.8258258258e-01 -2.0913409156e-04
5.8558558559e-01 -2.1273677050e-04
5.8858858859e-01 -2.1637998830e-04
5.9159159159e-01 -2.2006392619e-04
5.9459459459e-01 -2.2378876393e-04
5.9759759760e-01 -2.2755467977e-04
6.0060060060e-01 -2.3136185048e-04
6.0360360360e-01 -2.3521045130e-04
6.0660660661e-01 -2.3910065597e-04
6.0960960961e-01 -2.4303263666e-04
6.1261261261e-01 -2.4700656401e-04
6.1561561562e-01 -2.5102260709e-04
6.1861861862e-01 -2.5508093341e-04
6.2162162162e-01 -2.5918170887e-04
6.2462462462e-01 -2.6332509781e-04
6.2762762763e-01 -2.6751126292e-04
6.3063063063e-01 -2.7174036531e-04
6.3363363363e-01 -2.7601256443e-04
6.3663663664e-01 -2.8032801810e-04
6.3963963964e-01 -2.8468688248e-04
6.4264264264e-01 -2.8908931207e-04
6.4564564565e-01 -2.9353545969e-04
6.4864864865e-01 -2.9802547647e-04
6.5165165165e-01 -3.0255951185e-04
6.5465465465e-01 -3.0713771356e-04
6.5765765766e-01 -3.1176022759e-04
6.6066066066e-01 -3.1642719821e-04
6.6366366366e-01 -3.2113876796e-04
6.6666666667e-01 -3.2589507760e-04
6.6966966967e-01 -3.3069626614e-04
6.7267267267e-01 -3.3554247081e-04
6.7567567568e-01 -3.4043382706e-04
6.7867867868e-01 -3.4537046854e-04
6.8168168168e-01 -3.5035252708e-04
6.8468468468e-01 -3.5538013271e-04
6.8768768769e-01 -3.6045341361e-04
6.9069069069e-01 -3.6557249613e-04
6.9369369369e-01 -3.7073750478e-04
6.9669669670e-01 -3.7594856220e-04
6.9969969970e-01 -3.8120578915e-04
7.0270270270e-01 -3.8650930453e-04
7.0570570571e-01 -3.9185922532e-04
7.0870870871e-01 -3.9725566662e-04
7.1171171171e-01 -4.0269874161e-04
7.1471471471e-01 -4.0818856155e-04
7.1771771772e-01 -4.1372523576e-04
7.2072072072e-01 -4.1930887162e-04
7.2372372372e-01 -4.2493957457e-04
7.2672672673e-01 -4.3061744806e-04
7.2972972973e-01 -4.3634259360e-04
7.3273273273e-01 -4.4211511069e-04
7.3573573574e-01 -4.4793509685e-04
7.3873873874e-01 -4.5380264760e-04
7.4174174174e-01 -4.5971785644e-04
7.4474474474e-01 -4.6568081484e-04
7.4774774775e-01 -4.7169161227e-04
7.5075075075e-01 -4.7775033612e-04
7.5375375375e-01 -4.8385707175e-04
7.5675675676e-01 -4.9001190245e-04
7.5975975976e-01 -4.9621490946e-04
7.6276276276e-01 -5.0246617192e-04
7.6576576577e-01 -5.0876576688e-04
7.6876876877e-01 -5.1511376929e-04
7.7177177177e-01 -5.2151025201e-04
7.7477477477e-01 -5.2795528577e-04
7.7777777778e-01 -5.3444893917e-04
7.8078078078e-01 -5.4099127868e-04
7.8378378378e-01 -5.4758236861e-04
7.8678678679e-01 -5.5422227114e-04
7.8978978979e-01 -5.6091104627e-04
7.9279279279e-01 -5.6764875183e-04
7.9579579580e-01 -5.7443544346e-04
7.9879879880e-01 -5.8127117462e-04
8.0180180180e-01 -5.8815599657e-04
8.0480480480e-01 -5.9508995835e-04
8.0780780781e-01 -6.0207310678e-04
8.1081081081e-01 -6.0910548647e-04
8.1381381381e-01 -6.1618713977e-04
8.1681681682e-01 -6.2331810682e-04
8.1981981982e-01 -6.3049842546e-04
8.2282282282e-01 -6.3772813129e-04
8.2582582583e-01 -6.4500725766e-04
8.2882882883e-01 -6.5233583560e-04
8.3183183183e-01 -6.5971389387e-04
8.3483483483e-01 -6.6714145893e-04
8.3783783784e-01 -6.7461855493e-04
8.4084084084e-01 -6.8214520372e-04
8.4384384384e-01 -6.8972142480e-04
8.4684684685e-01 -6.9734723536e-04
8.4984984985e-01 -7.0502265024e-04
8.5285285285e-01 -7.1274768192e-04
8.5585585586e-01 -7.2052234054e-04
8.5885885886e-01 -7.2834663387e-04
8.6186186186e-01 -7.3622056729e-04
8.6486486486e-01 -7.4414414381e-04
8.6786786787e-01 -7.5211736405e-04
8.7087087087e-01 -7.6014022622e-04
8.7387387387e-01 -7.6821272613e-04
8.7687687688e-01 -7.7633485716e-04
8.7987987988e-01 -7.8450661029e-04
8.8288288288e-01 -7.9272797405e-04
8.8588588589e-01 -8.0099893452e-04
8.8888888889e-01 -8.0931947534e-04
8.9189189189e-01 -8.1768957770e-04
8.9489489489e-01 -8.2610922031e-04
8.9789789790e-01 -8.3457837942e-04
9.0090090090e-01 -8.4309702879e-04
9.0390390390e-01 -8.5166513969e-04
9.0690690691e-01 -8.6028268088e-04
9.0990990991e-01 -8.6894961865e-04
9.1291291291e-01 -8.7766591674e-04
9.1591591592e-01 -8.8643153638e-04
9.1891891892e-01 -8.9524643627e-04
9.2192192192e-01 -9.0411057257e-04
9.2492492492e-01 -9.1302389891e-04
9.2792792793e-01 -9.2198636635e-04
9.3093093093e-01 -9.3099792339e-04
9.3393393393e-01 -9.4005851597e-04
9.3693693694e-01 -9.4916808743e-04
9.3993993994e-01 -9.5832657857e-04
9.4294294294e-01 -9.6753392755e-04
9.4594594595e-01 -9.7679006996e-04
9.4894894895e-01 -9.8609493877e-04
9.5195195195e-01 -9.9544846434e-04
9.5495495495e-01 -1.0048505744e-03
9.5795795796e-01 -1.0143011941e-03
9.6096096096e-01 -1.0238002458e-03
9.6396396396e-01 -1.0333476495e-03
9.6696696697e-01 -1.0429433222e-03
9.6996996997e-01 -1.0525871784e-03
9.7297297297e-01 -1.0622791301e-03
9.7597597598e-01 -1.0720190864e-03
9.7897897898e-01 -1.0818069537e-03
9.8198198198e-01 -1.0916426359e-03
9.8498498498e-01 -1.1015260340e-03
9.8798798799e-01 -1.1114570465e-03
9.9099099099e-01 -1.1214355691e-03
9.9399399399e-01 -1.1314614946e-03
9.9699699700e-01 -1.1415347133e-03
1.0000000000e+00 -1.1516551127e-03
1.0030030030e+00 -1.1618225777e-03
1.0060060060e+00 -1.1720369901e-03
1.0090090090e+00 -1.1822982293e-03
1.0120120120e+00 -1.1926061717e-03
1.0150150150e+00 -1.2029606910e-03
1.0180180180e+00 -1.2133616583e-03
1.0210210210e+00 -1.2238089417e-03
1.0240240240e+00 -1.2343024064e-03
1.0270270270e+00 -1.2448419152e-03
1.0300300300e+00 -1.2554273278e-03
1.0330330330e+00 -1.2660585011e-03
1.0360360360e+00 -1.2767352892e-03
1.0390390390e+00 -1.2874575436e-03
1.0420420420e+00 -1.2982251126e-03
1.0450450450e+00 -1.3090378418e-03
1.0480480480e+00 -1.3198955742e-03
1.0510510511e+00 -1.3307981495e-03
1.0540540541e+00 -1.3417454050e-03
1.0570570571e+00 -1.3527371747e-03
1.0600600601e+00 -1.3637732901e-03
1.0630630631e+00 -1.3748535795e-03
1.0660660661e+00 -1.3859778685e-03
1.0690690691e+00 -1.3971459799e-03
1.0720720721e+00 -1.4083577333e-03
1.0750750751e+00 -1.4196129456e-03
1.0780780781e+00 -1.4309114308e-03
1.0810810811e+00 -1.4422529999e-03
1.0840840841e+00 -1.4536374610e-03
1.0870870871e+00 -1.4650646191e-03
1.0900900901e+00 -1.4765342767e-03
1.0930930931e+00 -1.4880462328e-03
1.0960960961e+00 -1.4996002838e-03
1.0990990991e+00 -1.5111962231e-03
1.1021021021e+00 -1.5228338410e-03
1.1051051051e+00 -1.5345129250e-03
1.1081081081e+00 -1.5462332595e-03
1.1111111111e+00 -1.5579946258e-03
1.1141141141e+00 -1.5697968025e-03
1.1171171171e+00 -1.5816395650e-03
1.1201201201e+00 -1.5935226857e-03
1.1231231231e+00 -1.6054459341e-03
1.1261261261e+00 -1.6174090765e-03
1.1291291291e+00 -1.6294118763e-03
1.1321321321e+00 -1.6414540938e-03
1.1351351351e+00 -1.6535354863e-03
1.1381381381e+00 -1.6656558082e-03
1.1411411411e+00 -1.6778148106e-03
1.1441441441e+00 -1.6900122415e-03
1.1471471471e+00 -1.7022478462e-03
1.1501501502e+00 -1.7145213666e-03
1.1531531532e+00 -1.7268325417e-03
1.1561561562e+00 -1.7391811072e-03
1.1591591592e+00 -1.7515667960e-03
1.1621621622e+00 -1.7639893377e-03
1.1651651652e+00 -1.7764484589e-03
1.1681681682e+00 -1.7889438829e-03
1.1711711712e+00 -1.8014753302e-03
1.1741741742e+00 -1.8140425179e-03
1.1771771772e+00 -1.8266451601e-03
1.1801801802e+00 -1.8392829678e-03
1.1831831832e+00 -1.8519556488e-03
1.1861861862e+00 -1.8646629078e-03
1.1891891892e+00 -1.8774044462e-03
1.1921921922e+00 -1.8901799624e-03
1.1951951952e+00 -1.9029891516e-03
1.1981981982e+00 -1.9158317059e-03
1.2012012012e+00 -1.9287073140e-03
