T  S
1.000000000000000082e-05 1.532720624303827073e+01
1.202122134519857758e-05 1.562663557097765477e+01
1.445097626302581775e-05 2.473109432731828505e+01
1.737183843120439119e-05 1.690393289495552764e+01
2.088307149545351885e-05 1.775938870039250972e+01
2.510400248144537978e-05 2.094854006248867506e+01
3.017807704798698674e-05 1.921430324168396453e+01
3.627773439663084114e-05 1.948122883528189320e+01
4.361026750842233248e-05 2.047057091815482721e+01
5.242486786420664515e-05 2.113267110255140580e+01
6.302109405884172104e-05 2.181596216233740293e+01
7.575905210979152950e-05 2.267708462119889390e+01
9.107163343142371005e-05 2.343706081700302946e+01
1.094792263747933274e-04 2.434090856542336923e+01
1.316074012952492571e-04 2.519184951756929181e+01
1.582081701636565084e-04 2.606024605567636243e+01
1.901855432156158228e-04 2.702319129969663081e+01
2.286262511651749782e-04 2.806131543072451606e+01
2.748366770579532500e-04 2.904523724207777491e+01
3.303872528692515455e-04 3.012698584231692678e+01
3.971658296373370704e-04 3.124264631401806724e+01
4.774418348819862426e-04 3.238340212172923316e+01
5.739433976574107336e-04 3.360808107733781469e+01
6.899500622855067686e-04 3.488384095570006593e+01
8.294042415867630214e-04 6.524487392951745335e+01
9.970451972761032282e-04 3.762284587801885039e+01
1.198570100762323112e-03 6.546836704118130967e+01
1.440827647900084704e-03 4.066130520871703879e+01
1.732050807568877608e-03 7.973660632949150795e+01
2.082136613891542257e-03 4.405897730487920683e+01
2.502982510653252272e-03 4.591788741809673979e+01
3.008890678372360197e-03 4.789516871784967833e+01
3.617054084821887550e-03 5.000516098191254599e+01
4.348140777119862722e-03 5.226041190305366513e+01
5.226996272184161740e-03 1.166379720747328719e+02
6.283487915845369955e-03 5.727578184954658269e+01
7.553519905625767812e-03 6.008605229227937627e+01
9.080253472089091712e-03 6.313822459423109734e+01
1.091557368584908719e-02 6.646557364381327204e+01
1.312185273874170999e-02 7.010689030601446348e+01
1.577406962315142450e-02 7.411525441463720654e+01
1.896235824544765733e-02 1.873076622923991579e+02
2.279507056954778454e-02 2.345887137798202673e+02
2.740245888959556841e-02 8.904739250717388188e+01
3.294110237145330550e-02 9.533070200508576875e+01
3.959922829620859258e-02 1.025145058250090955e+02
4.760310884477747528e-02 1.108233230179926210e+02
5.722475081426501436e-02 1.205650908827309706e+02
6.879113959621128982e-02 1.321785681943319446e+02
8.269535156745110027e-02 1.463090597032877724e+02
9.940991254113437647e-02 1.639507609569628812e+02
1.195028562563808239e-01 1.867298399815230994e+02
1.436570286441405386e-01 2.175150166003836318e+02
1.726932939124745658e-01 2.619267390217673324e+02
2.075984310953290779e-01 3.327817029136326710e+02
2.495586691112905708e-01 4.672090789793564909e+02
2.999999999999999334e-01 8.444188967183146133e+02
