T  S
1.000000000000000082e-05 5.658863913589716335e-04
1.536550077817304180e-05 9.144685739593860817e-04
2.360986141640368288e-05 1.460558536346146788e-03
3.627773439663084114e-05 2.377112309910944798e-03
5.574255561017860903e-05 3.847805126913141603e-03
8.565122816055552280e-05 6.277192015632766797e-03
1.316074012952492571e-04 1.020798774481441670e-02
2.022213627015486325e-04 1.666801547606396039e-02
3.107232505953861300e-04 6.067259981074744207e-02
4.774418348819862426e-04 4.479532234862845103e-02
7.336132885411532486e-04 7.374030061931304003e-02
1.127233555595718575e-03 1.218461492376641947e-01
1.732050807568877608e-03 2.021459446500494250e-01
2.661382803153485889e-03 3.370292461541589679e-01
4.089347953287128176e-03 1.091129288834475908e+00
6.283487915845369955e-03 9.544006255258571381e-01
9.654893846056302603e-03 1.625434487457456001e+00
1.483522789047563885e-02 2.798629518642763436e+00
2.279507056954778454e-02 4.887112545799176644e+00
3.502576745748962189e-02 8.697257515698611385e+00
5.381884571241653259e-02 1.589890356563283014e+01
8.269535156745110027e-02 3.028194307411365926e+01
1.270655488860965854e-01 6.192222202518515672e+01
1.952425790288301599e-01 1.477165584449269602e+02
2.999999999999999334e-01 6.479449289149691822e+02
