# S_vals   V_full,   V_ht,   V_zero
3.7537537538e-01 -1.0910021630e-04 -1.1236963701e-04 -1.2781911857e-04
3.8038038038e-01 -1.1487778703e-04 -1.1841184061e-04 -1.3369855441e-04
3.8538538539e-01 -1.2084042826e-04 -1.2465609353e-04 -1.3975738206e-04
3.9039039039e-01 -1.2698981537e-04 -1.3110567419e-04 -1.4599809054e-04
3.9539539540e-01 -1.3332910579e-04 -1.3776386401e-04 -1.5242314265e-04
4.0040040040e-01 -1.3986011454e-04 -1.4463394739e-04 -1.5903497419e-04
4.0540540541e-01 -1.4658555095e-04 -1.5171921172e-04 -1.6583599321e-04
4.1041041041e-01 -1.5350725624e-04 -1.5902294738e-04 -1.7282857933e-04
4.1541541542e-01 -1.6062810131e-04 -1.6654844775e-04 -1.8001508296e-04
4.2042042042e-01 -1.6794833710e-04 -1.7429900917e-04 -1.8739782458e-04
4.2542542543e-01 -1.7547303992e-04 -1.8227793099e-04 -1.9497909410e-04
4.3043043043e-01 -1.8320296120e-04 -1.9048851553e-04 -2.0276115007e-04
4.3543543544e-01 -1.9114026825e-04 -1.9893406811e-04 -2.1074621906e-04
4.4044044044e-01 -1.9928641740e-04 -2.0761789702e-04 -2.1893649495e-04
4.4544544545e-01 -2.0764482925e-04 -2.1654331356e-04 -2.2733413823e-04
4.5045045045e-01 -2.1621753516e-04 -2.2571363200e-04 -2.3594127539e-04
4.5545545546e-01 -2.2500457021e-04 -2.3513216957e-04 -2.4475999821e-04
4.6046046046e-01 -2.3400934611e-04 -2.4480224654e-04 -2.5379236312e-04
4.6546546547e-01 -2.4323408192e-04 -2.5472718611e-04 -2.6304039058e-04
4.7047047047e-01 -2.5268009546e-04 -2.6491031450e-04 -2.7250606441e-04
4.7547547548e-01 -2.6234898719e-04 -2.7535496090e-04 -2.8219133116e-04
4.8048048048e-01 -2.7224378157e-04 -2.8606445749e-04 -2.9209809952e-04
4.8548548549e-01 -2.8236475687e-04 -2.9704213941e-04 -3.0222823967e-04
4.9049049049e-01 -2.9271461090e-04 -3.0829134482e-04 -3.1258358266e-04
4.9549549550e-01 -3.0329454204e-04 -3.1981541484e-04 -3.2316591983e-04
5.0050050050e-01 -3.1410635800e-04 -3.3161769358e-04 -3.3397700223e-04
5.0550550551e-01 -3.2515187286e-04 -3.4370152812e-04 -3.4501853995e-04
5.1051051051e-01 -3.3643254559e-04 -3.5607026855e-04 -3.5629220162e-04
5.1551551552e-01 -3.4794995902e-04 -3.6872726791e-04 -3.6779961379e-04
5.2052052052e-01 -3.5970509561e-04 -3.8167588225e-04 -3.7954236034e-04
5.2552552553e-01 -3.7170013165e-04 -3.9491947059e-04 -3.9152198193e-04
5.3053053053e-01 -3.8393630884e-04 -4.0846139494e-04 -4.0373997544e-04
5.3553553554e-01 -3.9641470325e-04 -4.2230502027e-04 -4.1619779340e-04
5.4054054054e-01 -4.0913669922e-04 -4.3645371456e-04 -4.2889684345e-04
5.4554554555e-01 -4.2210420191e-04 -4.5091084876e-04 -4.4183848776e-04
5.5055055055e-01 -4.3531714636e-04 -4.6567979679e-04 -4.5502404253e-04
5.5555555556e-01 -4.4877806955e-04 -4.8076393558e-04 -4.6845477742e-04
5.6056056056e-01 -4.6248718811e-04 -4.9616664502e-04 -4.8213191503e-04
5.6556556557e-01 -4.7644649896e-04 -5.1189130798e-04 -4.9605663037e-04
5.7057057057e-01 -4.9065572040e-04 -5.2794131032e-04 -5.1023005032e-04
5.7557557558e-01 -5.0511710066e-04 -5.4432004089e-04 -5.2465325316e-04
5.8058058058e-01 -5.1983097465e-04 -5.6103089151e-04 -5.3932726799e-04
5.8558558559e-01 -5.3479865481e-04 -5.7807725697e-04 -5.5425307426e-04
5.9059059059e-01 -5.5002037087e-04 -5.9546253507e-04 -5.6943160126e-04
5.9559559560e-01 -5.6549746861e-04 -6.1319012657e-04 -5.8486372762e-04
6.0060060060e-01 -5.8123026089e-04 -6.3126343522e-04 -6.0055028079e-04
6.0560560561e-01 -5.9721999012e-04 -6.4968586775e-04 -6.1649203658e-04
6.1061061061e-01 -6.1346661376e-04 -6.6846083387e-04 -6.3268971865e-04
6.1561561562e-01 -6.2997123811e-04 -6.8759174626e-04 -6.4914399803e-04
6.2062062062e-01 -6.4673421650e-04 -7.0708202060e-04 -6.6585549265e-04
6.2562562563e-01 -6.6375668592e-04 -7.2693507555e-04 -6.8282476685e-04
6.3063063063e-01 -6.8103809910e-04 -7.4715433274e-04 -7.0005233091e-04
6.3563563564e-01 -6.9857876760e-04 -7.6774321678e-04 -7.1753864057e-04
6.4064064064e-01 -7.1638036632e-04 -7.8870515527e-04 -7.3528409661e-04
6.4564564565e-01 -7.3444179685e-04 -8.1004357879e-04 -7.5328904432e-04
6.5065065065e-01 -7.5276407081e-04 -8.3176192090e-04 -7.7155377309e-04
6.5565565566e-01 -7.7134699391e-04 -8.5386361813e-04 -7.9007851596e-04
6.6066066066e-01 -7.9019056940e-04 -8.7635211000e-04 -8.0886344913e-04
6.6566566567e-01 -8.0929547626e-04 -8.9923083902e-04 -8.2790869154e-04
6.7067067067e-01 -8.2866053450e-04 -9.2250325067e-04 -8.4721430443e-04
6.7567567568e-01 -8.4828666020e-04 -9.4617279340e-04 -8.6678029087e-04
6.8068068068e-01 -8.6817394552e-04 -9.7024291867e-04 -8.8660659537e-04
6.8568568569e-01 -8.8832185480e-04 -9.9471708090e-04 -9.0669310340e-04
6.9069069069e-01 -9.0872979427e-04 -1.0195987375e-03 -9.2703964099e-04
6.9569569570e-01 -9.2939766392e-04 -1.0448913488e-03 -9.4764597426e-04
7.0070070070e-01 -9.5032523694e-04 -1.0705983783e-03 -9.6851180906e-04
7.0570570571e-01 -9.7151214929e-04 -1.0967232922e-03 -9.8963679050e-04
7.1071071071e-01 -9.9295785692e-04 -1.1232695599e-03 -1.0110205025e-03
7.1571571572e-01 -1.0146621245e-03 -1.1502406537e-03 -1.0326624676e-03
7.2072072072e-01 -1.0366236347e-03 -1.1776400488e-03 -1.0545621461e-03
7.2572572573e-01 -1.0588415119e-03 -1.2054712237e-03 -1.0767189360e-03
7.3073073073e-01 -1.0813167875e-03 -1.2337376594e-03 -1.0991321727e-03
7.3573573574e-01 -1.1040471999e-03 -1.2624428402e-03 -1.1218011282e-03
7.4074074074e-01 -1.1270319128e-03 -1.2915902534e-03 -1.1447250109e-03
7.4574574575e-01 -1.1502712181e-03 -1.3211833892e-03 -1.1679029654e-03
7.5075075075e-01 -1.1737621901e-03 -1.3512257406e-03 -1.1913340717e-03
7.5575575576e-01 -1.1975053621e-03 -1.3817208039e-03 -1.2150173451e-03
7.6076076076e-01 -1.2214991110e-03 -1.4126720782e-03 -1.2389517358e-03
7.6576576577e-01 -1.2457422079e-03 -1.4440830656e-03 -1.2631361282e-03
7.7077077077e-01 -1.2702341627e-03 -1.4759572712e-03 -1.2875693411e-03
7.7577577578e-01 -1.2949728513e-03 -1.5082982031e-03 -1.3122501266e-03
7.8078078078e-01 -1.3199574127e-03 -1.5411093723e-03 -1.3371771704e-03
7.8578578579e-01 -1.3451850135e-03 -1.5743942928e-03 -1.3623490910e-03
7.9079079079e-01 -1.3706559966e-03 -1.6081564818e-03 -1.3877644393e-03
7.9579579580e-01 -1.3963681890e-03 -1.6423994591e-03 -1.4134216986e-03
8.0080080080e-01 -1.4223195300e-03 -1.6771267477e-03 -1.4393192838e-03
8.0580580581e-01 -1.4485085475e-03 -1.7123418737e-03 -1.4654555413e-03
8.1081081081e-01 -1.4749338557e-03 -1.7480483659e-03 -1.4918287486e-03
8.1581581582e-01 -1.5015932775e-03 -1.7842497563e-03 -1.5184371138e-03
8.2082082082e-01 -1.5284848263e-03 -1.8209495797e-03 -1.5452787754e-03
8.2582582583e-01 -1.5556065351e-03 -1.8581513741e-03 -1.5723518019e-03
8.3083083083e-01 -1.5829568671e-03 -1.8958586803e-03 -1.5996541913e-03
8.3583583584e-01 -1.6105330428e-03 -1.9340750421e-03 -1.6271838709e-03
8.4084084084e-01 -1.6383332603e-03 -1.9728040063e-03 -1.6549386970e-03
8.4584584585e-01 -1.6663550555e-03 -2.0120491229e-03 -1.6829164544e-03
8.5085085085e-01 -1.6945966613e-03 -2.0518139444e-03 -1.7111148561e-03
8.5585585586e-01 -1.7230550060e-03 -2.0921020268e-03 -1.7395315429e-03
8.6086086086e-01 -1.7517275816e-03 -2.1329169287e-03 -1.7681640832e-03
8.6586586587e-01 -1.7806123959e-03 -2.1742622118e-03 -1.7970099726e-03
8.7087087087e-01 -1.8097063460e-03 -2.2161414409e-03 -1.8260666335e-03
8.7587587588e-01 -1.8390067674e-03 -2.2585581837e-03 -1.8553314147e-03
8.8088088088e-01 -1.8685115327e-03 -2.3015160107e-03 -1.8848015912e-03
8.8588588589e-01 -1.8982169015e-03 -2.3450184957e-03 -1.9144743640e-03
8.9089089089e-01 -1.9281207509e-03 -2.3890692153e-03 -1.9443468595e-03
8.9589589590e-01 -1.9582195388e-03 -2.4336717490e-03 -1.9744161290e-03
9.0090090090e-01 -1.9885104204e-03 -2.4788296795e-03 -2.0046791491e-03
9.0590590591e-01 -2.0189904800e-03 -2.5245465924e-03 -2.0351328204e-03
