# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
1.5815815816e-02 1.5482045563e+00 1.1137011829e+00 1.9252829322e+00
1.6016016016e-02 1.4517745039e+00 1.0029778416e+00 1.8411622854e+00
1.6216216216e-02 1.3483492690e+00 8.8489740294e-01 1.7502016112e+00
1.6416416416e-02 1.2377513149e+00 7.5927305609e-01 1.6521924193e+00
1.6616616617e-02 1.1198018876e+00 6.2591600042e-01 1.5468408557e+00
1.6816816817e-02 9.9432101336e-01 4.8463516488e-01 1.4340826108e+00
1.7017017017e-02 8.6112749574e-01 3.3523673923e-01 1.3138876888e+00
1.7217217217e-02 7.2003891238e-01 1.7752331173e-01 1.1860784827e+00
1.7417417417e-02 5.7087161112e-01 1.1292034338e-02 1.0504762500e+00
1.7617617618e-02 4.1344070538e-01 -1.6367040626e-01 9.0690111263e-01
1.7817817818e-02 2.4756006893e-01 -3.4761637237e-01 7.5517205734e-01
1.8018018018e-02 7.3042329498e-02 -5.4078253169e-01 5.9510693543e-01
1.8218218218e-02 -1.1030113874e-01 -7.4315687053e-01 4.2652246303e-01
1.8418418418e-02 -3.0266022416e-01 -9.5493445514e-01 2.4923422099e-01
1.8618618619e-02 -5.0422608868e-01 -1.1763118016e+00 6.3056654947e-02
1.8818818819e-02 -7.1519118113e-01 -1.4074866834e+00 -1.3219692474e-01
1.9019019019e-02 -9.3574925387e-01 -1.6486581317e+00 -3.3671434303e-01
1.9219219219e-02 -1.1660953836e+00 -1.9000264346e+00 -5.5068456025e-01
1.9419419419e-02 -1.4064259982e+00 -2.1617931375e+00 -7.7429767224e-01
1.9619619620e-02 -1.6569389112e+00 -2.4341610425e+00 -1.0077449104e+00
1.9819819820e-02 -1.9178333681e+00 -2.7173342088e+00 -1.2512186420e+00
2.0020020020e-02 -2.1893101092e+00 -3.0115179520e+00 -1.5049123702e+00
2.0220220220e-02 -2.4715714592e+00 -3.3169188446e+00 -1.7690207341e+00
2.0420420420e-02 -2.7648214576e+00 -3.6337447152e+00 -2.0437395096e+00
2.0620620621e-02 -3.0692660611e+00 -3.9622046491e+00 -2.3292656089e+00
2.0820820821e-02 -3.3851134773e+00 -4.3025089877e+00 -2.6257970813e+00
2.1021021021e-02 -3.7125747691e+00 -4.6548693285e+00 -2.9335331135e+00
2.1221221221e-02 -4.0518651057e+00 -5.0194985252e+00 -3.2526740297e+00
2.1421421421e-02 -4.4032070207e+00 -5.3966106874e+00 -3.5834212924e+00
2.1621621622e-02 -4.7668450830e+00 -5.7864211808e+00 -3.9259775027e+00
2.1821821822e-02 -5.1430535831e+00 -6.1891466267e+00 -4.2805464009e+00
2.2022022022e-02 -5.5318739439e+00 -6.6050049023e+00 -4.6473328672e+00
2.2222222222e-02 -5.9335060126e+00 -7.0342151406e+00 -5.0265429220e+00
2.2422422422e-02 -6.3481620512e+00 -7.4769977299e+00 -5.4183837271e+00
2.2622622623e-02 -6.7760555017e+00 -7.9335743145e+00 -5.8230635866e+00
2.2822822823e-02 -7.2174009856e+00 -8.4041677939e+00 -6.2407919474e+00
2.3023023023e-02 -7.6724143039e+00 -8.8890023231e+00 -6.6717794005e+00
2.3223223223e-02 -8.1413124372e+00 -9.3883033127e+00 -7.1162376826e+00
2.3423423423e-02 -8.6243135457e+00 -9.9022974284e+00 -7.5743796767e+00
2.3623623624e-02 -9.1216369688e+00 -1.0431212591e+01 -8.0464194145e+00
2.3823823824e-02 -9.6335032257e+00 -1.0975277978e+01 -8.5325720773e+00
2.4024024024e-02 -1.0160134014e+01 -1.1534724020e+01 -9.0330539989e+00
2.4224224224e-02 -1.0701752213e+01 -1.2109782404e+01 -9.5480826672e+00
2.4424424424e-02 -1.1258581877e+01 -1.2700686072e+01 -1.0077876727e+01
2.4624624625e-02 -1.1830848245e+01 -1.3307669221e+01 -1.0622655984e+01
2.4824824825e-02 -1.2418777730e+01 -1.3930967303e+01 -1.1182641408e+01
2.5025025025e-02 -1.3022597927e+01 -1.4570817026e+01 -1.1758055134e+01
2.5225225225e-02 -1.3642537610e+01 -1.5227456350e+01 -1.2349120474e+01
2.5425425425e-02 -1.4278826732e+01 -1.5901124494e+01 -1.2956061916e+01
2.5625625626e-02 -1.4931696423e+01 -1.6592061929e+01 -1.3579105136e+01
2.5825825826e-02 -1.5601378996e+01 -1.7300510382e+01 -1.4218477007e+01
2.6026026026e-02 -1.6288107940e+01 -1.8026712835e+01 -1.4874405605e+01
2.6226226226e-02 -1.6992117922e+01 -1.8770913525e+01 -1.5547120228e+01
2.6426426426e-02 -1.7713644793e+01 -1.9533357943e+01 -1.6236851412e+01
2.6626626627e-02 -1.8452925576e+01 -2.0314292834e+01 -1.6943830955e+01
2.6826826827e-02 -1.9210198480e+01 -2.1113966201e+01 -1.7668291944e+01
2.7027027027e-02 -1.9985702887e+01 -2.1932627299e+01 -1.8410468802e+01
2.7227227227e-02 -2.0779679361e+01 -2.2770526639e+01 -1.9170597343e+01
2.7427427427e-02 -2.1592369644e+01 -2.3627915985e+01 -1.9948914858e+01
2.7627627628e-02 -2.2424016657e+01 -2.4505048357e+01 -2.0745660253e+01
2.7827827828e-02 -2.3274864501e+01 -2.5402178030e+01 -2.1561074261e+01
2.8028028028e-02 -2.4145158452e+01 -2.6319560534e+01 -2.2395399841e+01
2.8228228228e-02 -2.5035144969e+01 -2.7257452652e+01 -2.3248882984e+01
2.8428428428e-02 -2.5945071689e+01 -2.8216112423e+01 -2.4121774777e+01
2.8628628629e-02 -2.6875187424e+01 -2.9195799139e+01 -2.5014340105e+01
2.8828828829e-02 -2.7825742170e+01 -3.0196773348e+01 -2.5926871552e+01
2.9029029029e-02 -2.8796987098e+01 -3.1219296853e+01 -2.6859500000e+01
2.9229229229e-02 -2.9789174559e+01 -3.2263632711e+01 -2.7812457736e+01
2.9429429429e-02 -3.0802558083e+01 -3.3330045232e+01 -2.8785991000e+01
2.9629629630e-02 -3.1837392377e+01 -3.4418799982e+01 -2.9780347163e+01
2.9829829830e-02 -3.2893933330e+01 -3.5530163783e+01 -3.0795774721e+01
3.0030030030e-02 -3.3972438006e+01 -3.6664404708e+01 -3.1832523297e+01
3.0230230230e-02 -3.5073164650e+01 -3.7821792088e+01 -3.2890843640e+01
3.0430430430e-02 -3.6196372684e+01 -3.9002596506e+01 -3.3970987627e+01
3.0630630631e-02 -3.7342322710e+01 -4.0207089801e+01 -3.5073208261e+01
3.0830830831e-02 -3.8511276508e+01 -4.1435545065e+01 -3.6197759673e+01
3.1031031031e-02 -3.9703497036e+01 -4.2688236646e+01 -3.7344897118e+01
3.1231231231e-02 -4.0919248432e+01 -4.3965440145e+01 -3.8514876981e+01
