T  S
1.000000000000000082e-05 2.350466395514235103e+02
1.536550077817304180e-05 2.403729787079838331e+02
2.360986141640368288e-05 2.515456426288620548e+02
3.627773439663084114e-05 2.621345925830357828e+02
5.574255561017860903e-05 2.740861419777835977e+02
8.565122816055552280e-05 2.878041814964770424e+02
1.316074012952492571e-04 6.023093836798705070e+02
2.022213627015486325e-04 5.731985543045159375e+02
3.107232505953861300e-04 3.369117587969957981e+02
4.774418348819862426e-04 6.454256414895135094e+02
7.336132885411532486e-04 3.793030521596799645e+02
1.127233555595718575e-03 4.047434666734910707e+02
1.732050807568877608e-03 8.052707459091432156e+02
2.661382803153485889e-03 8.649282117900406774e+02
4.089347953287128176e-03 5.064125260014213268e+02
6.283487915845369955e-03 5.528063150211849006e+02
9.654893846056302603e-03 6.088189418724540474e+02
1.483522789047563885e-02 6.779514021674616515e+02
2.279507056954778454e-02 7.658392330225195792e+02
3.502576745748962189e-02 8.818831137711800920e+02
5.381884571241653259e-02 1.043475819225070381e+03
8.269535156745110027e-02 1.287067950234397813e+03
1.270655488860965854e-01 1.706015353009708861e+03
1.952425790288301599e-01 2.645511322079060847e+03
2.999999999999999334e-01 7.734933136741900853e+03
