# S_vals   V_full
4.1741741742e-01 6.8497235592e-04
4.2042042042e-01 6.9233285415e-04
4.2342342342e-01 6.9967660573e-04
4.2642642643e-01 7.0703555029e-04
4.2942942943e-01 7.1438864462e-04
4.3243243243e-01 7.2173770261e-04
4.3543543544e-01 7.2909847791e-04
4.3843843844e-01 7.3644130620e-04
4.4144144144e-01 7.4378817471e-04
4.4444444444e-01 7.5114251258e-04
4.4744744745e-01 7.5847320845e-04
4.5045045045e-01 7.6581083317e-04
4.5345345345e-01 7.7314983831e-04
4.5645645646e-01 7.8046755814e-04
4.5945945946e-01 7.8778927220e-04
4.6246246246e-01 7.9511006117e-04
4.6546546547e-01 8.0240831137e-04
4.6846846847e-01 8.0970779816e-04
4.7147147147e-01 8.1700724149e-04
4.7447447447e-01 8.2428010263e-04
4.7747747748e-01 8.3155135688e-04
4.8048048048e-01 8.3882004933e-04
4.8348348348e-01 8.4606818746e-04
4.8648648649e-01 8.5330548696e-04
4.8948948949e-01 8.6053784000e-04
4.9249249249e-01 8.6775838373e-04
4.9549549550e-01 8.7495626010e-04
4.9849849850e-01 8.8214693004e-04
5.0150150150e-01 8.8932936012e-04
5.0450450450e-01 8.9649025734e-04
5.0750750751e-01 9.0363412728e-04
5.1051051051e-01 9.1076766119e-04
5.1351351351e-01 9.1788990938e-04
5.1651651652e-01 9.2498667941e-04
5.1951951952e-01 9.3206650696e-04
5.2252252252e-01 9.3913310052e-04
5.2552552553e-01 9.4618558300e-04
5.2852852853e-01 9.5321375856e-04
5.3153153153e-01 9.6022015492e-04
5.3453453453e-01 9.6721061950e-04
5.3753753754e-01 9.7418433987e-04
5.4054054054e-01 9.8113949001e-04
5.4354354354e-01 9.8806364163e-04
5.4654654655e-01 9.9496934450e-04
5.4954954955e-01 1.0018558408e-03
5.5255255255e-01 1.0087223921e-03
5.5555555556e-01 1.0155671885e-03
5.5855855856e-01 1.0223799917e-03
5.6156156156e-01 1.0291712803e-03
5.6456456456e-01 1.0359403646e-03
5.6756756757e-01 1.0426865713e-03
5.7057057057e-01 1.0494092428e-03
5.7357357357e-01 1.0561032691e-03
5.7657657658e-01 1.0627674732e-03
5.7957957958e-01 1.0694067169e-03
5.8258258258e-01 1.0760203847e-03
5.8558558559e-01 1.0826078728e-03
5.8858858859e-01 1.0891685894e-03
5.9159159159e-01 1.0957019570e-03
5.9459459459e-01 1.1022012956e-03
5.9759759760e-01 1.1086710992e-03
6.0060060060e-01 1.1151122779e-03
6.0360360360e-01 1.1215242854e-03
6.0660660661e-01 1.1279065886e-03
6.0960960961e-01 1.1342586649e-03
6.1261261261e-01 1.1405800008e-03
6.1561561562e-01 1.1468700961e-03
6.1861861862e-01 1.1531269952e-03
6.2162162162e-01 1.1593482214e-03
6.2462462462e-01 1.1655370735e-03
6.2762762763e-01 1.1716930760e-03
6.3063063063e-01 1.1778157681e-03
6.3363363363e-01 1.1839046907e-03
6.3663663664e-01 1.1899593958e-03
6.3963963964e-01 1.1959794450e-03
6.4264264264e-01 1.2019644064e-03
6.4564564565e-01 1.2079138563e-03
6.4864864865e-01 1.2138273773e-03
6.5165165165e-01 1.2197045609e-03
6.5465465465e-01 1.2255450085e-03
6.5765765766e-01 1.2313483263e-03
6.6066066066e-01 1.2371141280e-03
6.6366366366e-01 1.2428420283e-03
6.6666666667e-01 1.2485305321e-03
6.6966966967e-01 1.2541804028e-03
6.7267267267e-01 1.2597914952e-03
6.7567567568e-01 1.2653634440e-03
6.7867867868e-01 1.2708959013e-03
6.8168168168e-01 1.2763885163e-03
6.8468468468e-01 1.2818409548e-03
6.8768768769e-01 1.2872528770e-03
6.9069069069e-01 1.2926239584e-03
6.9369369369e-01 1.2979538744e-03
6.9669669670e-01 1.3032423070e-03
6.9969969970e-01 1.3084889489e-03
7.0270270270e-01 1.3136934941e-03
7.0570570571e-01 1.3188556433e-03
7.0870870871e-01 1.3239741591e-03
7.1171171171e-01 1.3290491822e-03
7.1471471471e-01 1.3340807859e-03
7.1771771772e-01 1.3390686973e-03
7.2072072072e-01 1.3440126459e-03
7.2372372372e-01 1.3489123656e-03
7.2672672673e-01 1.3537675993e-03
7.2972972973e-01 1.3585750470e-03
7.3273273273e-01 1.3633370267e-03
7.3573573574e-01 1.3680537499e-03
7.3873873874e-01 1.3727249765e-03
7.4174174174e-01 1.3773504693e-03
7.4474474474e-01 1.3819299978e-03
7.4774774775e-01 1.3864633304e-03
7.5075075075e-01 1.3909502433e-03
7.5375375375e-01 1.3953895367e-03
7.5675675676e-01 1.3997793285e-03
7.5975975976e-01 1.4041219567e-03
7.6276276276e-01 1.4084172174e-03
7.6576576577e-01 1.4126649071e-03
7.6876876877e-01 1.4168648339e-03
7.7177177177e-01 1.4210168045e-03
7.7477477477e-01 1.4251206317e-03
7.7777777778e-01 1.4291761337e-03
7.8078078078e-01 1.4331796667e-03
7.8378378378e-01 1.4371332993e-03
7.8678678679e-01 1.4410379985e-03
7.8978978979e-01 1.4448935982e-03
7.9279279279e-01 1.4486999379e-03
7.9579579580e-01 1.4524568569e-03
7.9879879880e-01 1.4561636380e-03
8.0180180180e-01 1.4598159422e-03
8.0480480480e-01 1.4634183065e-03
8.0780780781e-01 1.4669705932e-03
8.1081081081e-01 1.4704726623e-03
8.1381381381e-01 1.4739243816e-03
8.1681681682e-01 1.4773228769e-03
8.1981981982e-01 1.4806676386e-03
8.2282282282e-01 1.4839616108e-03
8.2582582583e-01 1.4872046682e-03
8.2882882883e-01 1.4903967130e-03
8.3183183183e-01 1.4935345750e-03
8.3483483483e-01 1.4966179619e-03
8.3783783784e-01 1.4996499584e-03
8.4084084084e-01 1.5026304617e-03
8.4384384384e-01 1.5055593795e-03
8.4684684685e-01 1.5084301764e-03
8.4984984985e-01 1.5112489878e-03
8.5285285285e-01 1.5140159024e-03
8.5585585586e-01 1.5167308412e-03
8.5885885886e-01 1.5193880880e-03
8.6186186186e-01 1.5219918981e-03
8.6486486486e-01 1.5245434717e-03
8.6786786787e-01 1.5270427439e-03
8.7087087087e-01 1.5294828973e-03
8.7387387387e-01 1.5318701721e-03
8.7687687688e-01 1.5342049335e-03
8.7987987988e-01 1.5364849181e-03
8.8288288288e-01 1.5387070904e-03
8.8588588589e-01 1.5408765716e-03
8.8888888889e-01 1.5429933240e-03
8.9189189189e-01 1.5450508349e-03
8.9489489489e-01 1.5470543950e-03
8.9789789790e-01 1.5490050924e-03
9.0090090090e-01 1.5508984604e-03
9.0390390390e-01 1.5527355705e-03
9.0690690691e-01 1.5545197223e-03
9.0990990991e-01 1.5562474515e-03
9.1291291291e-01 1.5579177009e-03
9.1591591592e-01 1.5595349327e-03
