1.344018437269976e-9     6.625094127376418e-10
1.47303111479533e-9     1.5326057957880836e-10
1.6918097766554346e-9     2.047662034472308e-11
1.9328587041561734e-9     1.0309676382080895e-12
2.4483134178410103e-9     1.0153657657258735e-13
2.688641167468634e-9     3.386891814899293e-14
2.808237693308312e-9     1.0628942710323707e-14
3.081862913304719e-9     3.138258701847478e-15
4.618563201607001e-9     1e-14
6.921503858964509e-9     3.1864804498472506e-14
9.868983391803148e-9     1.0153657657258735e-13
1.407162882117607e-8     3.2354431619296796e-13
2.10881239329578e-8     1.0309676382080895e-12
3.006837084820791e-8     3.2851582235752705e-12
4.506127463758286e-8     1.0468092454077522e-11
6.422915900519453e-8     3.138258701847478e-11
1.0656136751493648e-7     1.4865702268326135e-10
